Category,Search Name,Cadence,Boolean Query,Manual LinkedIn URL
"Posts","Medicinal Chemistry PhD/MSc Openings","Daily","(""PhD position"" OR ""PhD opportunity"" OR ""PhD studentship"" OR ""doctoral position"") AND (""medicinal chemistry"" OR ""drug discovery"" OR ""chemical biology"") AND (funded OR ""fully funded"" OR studentship)","https://www.linkedin.com/search/results/content/?keywords=(%22PhD%20position%22%20OR%20%22PhD%20opportunity%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%20position%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22drug%20discovery%22%20OR%20%22chemical%20biology%22)%20AND%20(funded%20OR%20%22fully%20funded%22%20OR%20studentship)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Computational Drug Discovery","Twice weekly","(""PhD position"" OR ""PhD opportunity"" OR ""doctoral researcher"") AND (""computational drug discovery"" OR ""computer-aided drug design"" OR ""molecular docking"" OR ADMET)","https://www.linkedin.com/search/results/content/?keywords=(%22PhD%20position%22%20OR%20%22PhD%20opportunity%22%20OR%20%22doctoral%20researcher%22)%20AND%20(%22computational%20drug%20discovery%22%20OR%20%22computer-aided%20drug%20design%22%20OR%20%22molecular%20docking%22%20OR%20ADMET)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Natural Products and Metabolomics","Twice weekly","(""PhD position"" OR ""graduate student"" OR ""master's student"") AND (""natural product chemistry"" OR metabolomics OR phytochemistry OR ""mass spectrometry"")","https://www.linkedin.com/search/results/content/?keywords=(%22PhD%20position%22%20OR%20%22graduate%20student%22%20OR%20%22master's%20student%22)%20AND%20(%22natural%20product%20chemistry%22%20OR%20metabolomics%20OR%20phytochemistry%20OR%20%22mass%20spectrometry%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Neglected Tropical Diseases / Parasitology","Twice weekly","(""PhD position"" OR ""doctoral position"" OR ""graduate student"") AND (leishmaniasis OR ""neglected tropical disease"" OR antiparasitic OR parasitology) AND (""drug discovery"" OR ""medicinal chemistry"")","https://www.linkedin.com/search/results/content/?keywords=(%22PhD%20position%22%20OR%20%22doctoral%20position%22%20OR%20%22graduate%20student%22)%20AND%20(leishmaniasis%20OR%20%22neglected%20tropical%20disease%22%20OR%20antiparasitic%20OR%20parasitology)%20AND%20(%22drug%20discovery%22%20OR%20%22medicinal%20chemistry%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Health Informatics / Digital Health","Daily","(""PhD position"" OR ""MSc"" OR ""master's student"" OR ""graduate student"") AND (""health informatics"" OR ""digital health"" OR ""clinical informatics"" OR ""public health informatics"")","https://www.linkedin.com/search/results/content/?keywords=(%22PhD%20position%22%20OR%20%22MSc%22%20OR%20%22master's%20student%22%20OR%20%22graduate%20student%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22clinical%20informatics%22%20OR%20%22public%20health%20informatics%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","AI for Health / Health Data Engineering","Twice weekly","(""PhD position"" OR ""graduate student"" OR ""research assistant"") AND (""AI for health"" OR ""machine learning for healthcare"" OR ""health data"" OR ""data engineering"") AND (healthcare OR pharmacy OR ""supply chain"")","https://www.linkedin.com/search/results/content/?keywords=(%22PhD%20position%22%20OR%20%22graduate%20student%22%20OR%20%22research%20assistant%22)%20AND%20(%22AI%20for%20health%22%20OR%20%22machine%20learning%20for%20healthcare%22%20OR%20%22health%20data%22%20OR%20%22data%20engineering%22)%20AND%20(healthcare%20OR%20pharmacy%20OR%20%22supply%20chain%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Professor Hiring Student Posts","Daily","(""I am looking for"" OR ""we are looking for"" OR ""join my lab"" OR ""join our lab"") AND (""PhD student"" OR ""master's student"" OR ""graduate student"") AND (""drug discovery"" OR ""medicinal chemistry"" OR ""health informatics"" OR ""digital health"")","https://www.linkedin.com/search/results/content/?keywords=(%22I%20am%20looking%20for%22%20OR%20%22we%20are%20looking%20for%22%20OR%20%22join%20my%20lab%22%20OR%20%22join%20our%20lab%22)%20AND%20(%22PhD%20student%22%20OR%20%22master's%20student%22%20OR%20%22graduate%20student%22)%20AND%20(%22drug%20discovery%22%20OR%20%22medicinal%20chemistry%22%20OR%20%22health%20informatics%22%20OR%20%22digital%20health%22)&origin=GLOBAL_SEARCH_HEADER"
"People","Medicinal Chemistry Professors","Daily","(""Professor of Medicinal Chemistry"" OR ""Associate Professor of Medicinal Chemistry"" OR ""Assistant Professor of Medicinal Chemistry"" OR ""Medicinal Chemistry Professor"")","https://www.linkedin.com/search/results/people/?keywords=(%22Professor%20of%20Medicinal%20Chemistry%22%20OR%20%22Associate%20Professor%20of%20Medicinal%20Chemistry%22%20OR%20%22Assistant%20Professor%20of%20Medicinal%20Chemistry%22%20OR%20%22Medicinal%20Chemistry%20Professor%22)&origin=GLOBAL_SEARCH_HEADER"
"People","Computational Chemistry / Molecular Modelling Professors","Twice weekly","(""Professor"" OR ""Associate Professor"" OR ""Assistant Professor"") AND (""computational chemistry"" OR ""molecular modelling"" OR ""molecular dynamics"" OR ""computer-aided drug design"")","https://www.linkedin.com/search/results/people/?keywords=(%22Professor%22%20OR%20%22Associate%20Professor%22%20OR%20%22Assistant%20Professor%22)%20AND%20(%22computational%20chemistry%22%20OR%20%22molecular%20modelling%22%20OR%20%22molecular%20dynamics%22%20OR%20%22computer-aided%20drug%20design%22)&origin=GLOBAL_SEARCH_HEADER"
"People","Health Informatics Professors","Daily","(""Professor"" OR ""Associate Professor"" OR ""Assistant Professor"") AND (""health informatics"" OR ""clinical informatics"" OR ""public health informatics"" OR ""digital health"")","https://www.linkedin.com/search/results/people/?keywords=(%22Professor%22%20OR%20%22Associate%20Professor%22%20OR%20%22Assistant%20Professor%22)%20AND%20(%22health%20informatics%22%20OR%20%22clinical%20informatics%22%20OR%20%22public%20health%20informatics%22%20OR%20%22digital%20health%22)&origin=GLOBAL_SEARCH_HEADER"
